"DATE","TIME PERIOD","Total assets held by investment funds  in the euro area (transaction) (IVF.Q.U2.N.T0.T00.A.4.Z5.0000.Z01.E)"
"2009-03-31","2009Q1","-47696"
"2009-06-30","2009Q2","114019"
"2009-09-30","2009Q3","190072"
"2009-12-31","2009Q4","115819"
"2010-03-31","2010Q1","222830"
"2010-06-30","2010Q2","23767"
"2010-09-30","2010Q3","98395"
"2010-12-31","2010Q4","70436"
"2011-03-31","2011Q1","123485"
"2011-06-30","2011Q2","57285"
"2011-09-30","2011Q3","-13371"
"2011-12-31","2011Q4","-182194"
"2012-03-31","2012Q1","154490"
"2012-06-30","2012Q2","13157"
"2012-09-30","2012Q3","129208"
"2012-12-31","2012Q4","43073"
"2013-03-31","2013Q1","228265"
"2013-06-30","2013Q2","150385"
"2013-09-30","2013Q3","58584"
"2013-12-31","2013Q4","61716"
"2014-03-31","2014Q1","181621"
"2014-06-30","2014Q2","150787"
"2014-09-30","2014Q3","191649"
"2014-12-31","2014Q4","-23536"
"2015-03-31","2015Q1","322833"
"2015-06-30","2015Q2","120534"
"2015-09-30","2015Q3","-23357"
"2015-12-31","2015Q4","19707"
"2016-03-31","2016Q1","60192"
"2016-06-30","2016Q2","153223"
"2016-09-30","2016Q3","116392"
"2016-12-31","2016Q4","-3589"
"2017-03-31","2017Q1","238831"
"2017-06-30","2017Q2","260015"
"2017-09-30","2017Q3","243937"
"2017-12-31","2017Q4","122384"
"2018-03-31","2018Q1","334727"
"2018-06-30","2018Q2","98507"
"2018-09-30","2018Q3","59546"
"2018-12-31","2018Q4","-132827"
"2019-03-31","2019Q1","203821"
"2019-06-30","2019Q2","164188"
"2019-09-30","2019Q3","110910"
"2019-12-31","2019Q4","145000"
"2020-03-31","2020Q1","82439"
"2020-06-30","2020Q2","-18076"
"2020-09-30","2020Q3","133321"
"2020-12-31","2020Q4","218263"
"2021-03-31","2021Q1","396449"
"2021-06-30","2021Q2","278629"
"2021-09-30","2021Q3","302751"
"2021-12-31","2021Q4","242215"
"2022-03-31","2022Q1","134517"
"2022-06-30","2022Q2","-117174"
"2022-09-30","2022Q3","-111430"
"2022-12-31","2022Q4","-234091"
"2023-03-31","2023Q1","115369"
"2023-06-30","2023Q2","-18397"
"2023-09-30","2023Q3","7292"
"2023-12-31","2023Q4","-108181"
"2024-03-31","2024Q1","242833"
"2024-06-30","2024Q2","182181"
